Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection Precision,Lie Detection Recall,Lie Detection F1,Average Final Bid,Bid Optimality,Adaptation Score,Rule Adherence Rate,Avg API Response Time,Avg Rounds per Game,Early Game Wins,Mid Game Wins,Long Game Wins
google/gemini-2.5-flash-preview:thinking,James,google,1073.00566158348,8.333333333333332,17,204,6.617647058823529,7.93427093059446,9.328403078403078,8.437963125861504,0.30334967320261436,8.916789322712619,3.9215686274509802,6.675698388444166,4.309043840595198,2.803921568627451,0,0,17
meta-llama/llama-4-maverick,Kevin,meta-llama,986.723864535874,5.288461538461538,11,208,5.066010378510379,8.732638888888888,6.449288558663559,6.827374485745527,0.643366529304029,8.236534640977915,6.730769230769231,10.618660706650452,3.7706745550524827,4.355769230769231,0,0,11
openai/gpt-4o-mini-2024-07-18,Daniel,openai,985.4358728782763,5.092592592592593,11,216,4.584619341563786,6.496362433862434,6.7549806765493035,6.231469303948963,0.4447285353535353,6.960716816754476,5.555555555555555,5.9444436621697365,3.030549053252469,3.185185185185185,0,0,11
google/gemini-2.5-flash-preview,James,google,986.0982942088476,4.205607476635514,9,214,6.2233988752680345,9.64647334218527,8.610521098838856,8.73061100827665,0.4036204449755852,8.941762859393187,4.205607476635514,10.379088918353967,4.274845433007268,3.8598130841121496,0,0,9
openai/gpt-4o-mini,David,openai,984.0,4.166666666666666,8,192,4.402901785714286,6.071339038033116,6.6526500120250125,6.0074123777231945,0.2826760912698413,8.162723626433303,6.25,5.920880645195769,3.670314957837599,3.2760416666666665,0,0,8
meta-llama/llama-3.3-70b-instruct,Daniel,meta-llama,984.736306793522,3.8793103448275863,9,232,4.801929392446634,7.849523560730459,7.252583595129234,7.20596566937546,0.3946724611595301,8.812511805682275,5.603448275862069,7.932369348006282,6.27271937914497,4.017241379310345,0,0,9
deepseek/deepseek-r1-distill-llama-70b,James,deepseek,984.736306793522,2.727272727272727,6,220,4.132395382395381,0.0,0.0,0.0,0.7515386002886004,9.886363636363637,3.1818181818181817,0.4003730489167105,8.761231119417394,4.2,0,0,6
mistralai/mistral-small-24b-instruct-2501,Daniel,mistralai,986.0982942088476,2.586206896551724,6,232,3.8362068965517238,6.7054031368913405,7.29873651362623,6.682713739744533,0.33795327038861517,7.822552623392392,5.603448275862069,6.313319638611242,3.8953804766364506,3.6767241379310347,0,0,6
mistralai/mistral-tiny,Matthew,mistralai,985.4358728782763,2.3255813953488373,5,215,2.784053156146179,4.876451713661016,4.474414474414475,4.530350525524242,0.3428792912513843,4.670721419719014,2.7906976744186047,3.939229561101408,2.849063678362804,2.7069767441860466,0,0,5
google/gemini-2.0-flash-lite-001,John,google,985.4358728782763,2.232142857142857,5,224,6.986607142857143,6.157655369840245,6.494882043726582,5.983554282079593,0.2634141156462585,8.205965059328687,5.803571428571429,9.284593086348655,4.63188252123107,4.433035714285714,0,0,5
mistralai/mistral-saba,Rachel,mistralai,984.736306793522,1.809954751131222,4,221,5.073798750269337,5.692189911646924,5.179711532414557,4.991884490136876,0.5335380305968541,7.780427879576137,6.334841628959276,5.840836987375451,4.698157197912679,4.257918552036199,0,0,4
cohere/command-r,Michael,cohere,985.4358728782763,1.702127659574468,4,235,4.2280402812317694,3.5460992907801416,1.9928349590427188,2.094900371496116,0.6076018544103651,9.513846673421142,10.212765957446809,3.8962634319671223,4.252551886286244,4.110638297872341,0,0,4
mistralai/ministral-3b,Amanda,mistralai,986.723864535874,1.6,4,250,3.007777777777778,5.546190476190477,4.312910784867306,4.496380134027194,0.4319507936507936,6.322819011054305,4.0,3.761538269141304,2.8295025271361776,3.004,0,0,4
meta-llama/llama-4-scout,Matthew,meta-llama,986.723864535874,1.5873015873015872,4,252,3.985260770975056,5.483047596142835,5.226376163000811,4.92832338260068,0.4115929705215419,6.082721158883966,7.142857142857143,5.821003544473634,3.0307026500076724,3.0952380952380953,0,0,4
mistralai/ministral-8b,Emily,mistralai,985.4358728782763,1.477832512315271,3,203,5.585268590194699,6.71663858855977,5.772196468009277,5.749498562460119,0.5322230041441864,7.027063216573502,6.403940886699507,5.760244133794468,4.854202748428233,4.497536945812808,0,0,3
mistralai/pixtral-12b,Thomas,mistralai,985.4358728782763,1.4492753623188406,3,207,3.754888428801472,4.649915302089216,2.4020500856885296,2.7153370347459576,0.6104034317802435,7.937799532725866,7.246376811594203,5.691315729332892,3.7398894410363366,3.8550724637681157,0,0,3
cohere/command-r-08-2024,Matthew,cohere,984.0,1.4285714285714286,3,210,2.7125850340136046,4.912698412698412,3.278702709153836,3.2801412717379104,0.44215593929879643,6.416288737717309,7.142857142857143,3.6037301899697702,3.887697164422135,3.052380952380952,0,0,3
mistralai/mistral-small,Daniel,mistralai,984.736306793522,1.3392857142857142,3,224,4.2625070861678,5.384408498247782,3.733621289424861,4.008970619900517,0.5110756802721089,6.79020322435501,4.017857142857143,5.1876755896587285,4.209859614006362,3.4642857142857144,0,0,3
google/gemini-flash-1.5-8b,Jennifer,google,1073.00566158348,1.282051282051282,3,234,2.902945819612486,4.166666666666667,2.0226777579718758,2.269653423499577,0.46426166426166426,7.90731901843013,5.128205128205129,2.2013014675532725,2.822770295600514,3.175213675213675,0,0,3
cohere/command-r7b-12-2024,James,cohere,985.4358728782763,1.276595744680851,3,235,2.352038032889097,5.723404255319149,3.505459867161995,3.621548735958989,0.4825742992232354,5.3506469889448605,7.23404255319149,4.069204231950006,3.166004962846675,3.204255319148936,0,0,3
meta-llama/llama-3.1-8b-instruct,Thomas,meta-llama,986.0982942088476,0.9708737864077669,2,206,4.343504392048081,5.4611650485436884,2.145712973688121,2.6389647080978085,0.7462186007088921,8.716153396646531,10.194174757281553,5.320678848033676,3.943798852107973,4.538834951456311,0,0,2
mistral/ministral-8b,Ashley,mistral,986.723864535874,0.9523809523809524,2,210,3.335600907029478,4.308390022675736,3.640074211502783,3.5107881536452963,0.4135714285714286,4.211255397345622,4.761904761904762,4.521918653690654,3.5070207989157662,3.3142857142857145,0,0,2
mistralai/codestral-2501,Sarah,mistralai,986.0982942088476,0.8849557522123894,2,226,3.2158659924146646,7.514749262536873,4.688488312524852,4.835993376780364,0.7562684365781712,7.339258073713129,4.867256637168142,9.746286083618616,4.0538364903163355,4.420353982300885,0,0,2
mistralai/mistral-small-3.1-24b-instruct,Daniel,mistralai,985.4358728782763,0.851063829787234,2,235,5.086073500967117,5.1568726781492735,3.7203960689567697,4.157472432479807,0.4371921341070277,7.175349935294432,7.659574468085107,7.044028853779049,4.137243751959498,3.617021276595745,0,0,2
google/gemini-2.0-flash-001,Nicole,google,986.0982942088476,0.8064516129032258,2,248,3.0457949308755756,6.518817204301076,2.777646094708913,3.5468434685702244,0.6218493983614952,5.814156549431539,4.435483870967742,8.244707921223288,3.2347266055178054,3.370967741935484,0,0,2
google/gemini-flash-1.5,Kevin,google,986.723864535874,0.46511627906976744,1,215,1.9856035437430786,5.986434108527131,2.557377925114201,3.3470080302906924,0.4553765227021041,6.772716909173818,3.7209302325581395,3.4865338046418537,2.412520157810756,2.9767441860465116,0,0,1
