Model,Human Name,Provider,Elo,Win Rate,Wins,Games,Bluff Success Rate,Lie Detection F1,Rule Adherence
google/gemini-2.5-flash-preview-05-20,Jennifer,google,984.0,62.5,100,160,35.83407738095239,64.9907659972591,99.59854361324963
openai/gpt-4.1-mini,Amanda,openai,984.736306793522,48.94736842105264,93,190,37.01127819548873,63.97075679702829,97.56645127800101
google/gemini-flash-1.5,Kevin,google,984.0,41.13475177304964,58,141,28.931948665991214,68.87670526436473,99.33780330593244
openai/gpt-4.1-nano,Andrew,openai,985.4358728782763,40.37267080745342,65,161,34.614758947057084,63.02180280133474,96.74247447185114
google/gemini-2.0-flash-001,Matthew,google,1045.8278203282016,36.02150537634409,67,186,30.388019984794173,53.71172938543688,99.45433240024056
meta-llama/llama-3.3-70b-instruct,Ashley,meta-llama,1045.8278203282016,35.08771929824561,60,171,33.81323679569293,60.57554169557539,98.14944525742078
google/gemini-flash-1.5-8b,Nicole,google,984.0,34.0,51,150,31.201587301587296,61.66354929285238,94.11957619628672
openai/gpt-4o-mini,Amanda,openai,984.736306793522,30.32258064516129,47,155,33.67741935483871,51.908420388367155,99.36407353334522
mistralai/devstral-small,John,mistralai,1045.8278203282016,25.294117647058822,43,170,27.037815126050422,48.371768933902615,90.6642991134191
mistralai/ministral-8b,Jessica,mistralai,984.0,24.404761904761905,41,168,26.116780045351476,49.41283335232002,83.5495637763675
mistralai/mistral-small-3.1-24b-instruct,Brian,mistralai,985.4358728782763,23.31288343558282,38,163,29.729038854805726,52.41547619829753,96.09726094834812
qwen/qwen-2.5-7b-instruct,Emily,qwen,984.0,22.916666666666664,33,144,29.59823933782265,13.88888888888889,99.39478446086066
mistralai/mistral-nemo,Nicole,mistralai,984.736306793522,20.253164556962027,32,158,30.146172393007845,49.65126532570701,93.92471550296047
mistralai/mistral-small,Megan,mistralai,984.0,19.553072625698324,35,179,33.7243947858473,48.43475821781034,95.77627002405805
google/gemini-2.0-flash-lite-001,John,google,984.736306793522,19.101123595505616,34,178,19.756554307116104,45.45627618961359,97.45960495709382
meta-llama/llama-3.1-8b-instruct,Daniel,meta-llama,984.736306793522,18.0327868852459,33,183,33.69437939110071,46.16604876248078,87.22319737972917
mistralai/pixtral-12b,Andrew,mistralai,985.4358728782763,17.177914110429448,28,163,31.026766348852235,44.48212157313534,93.53663839983797
meta-llama/llama-4-scout,Sarah,meta-llama,984.736306793522,16.666666666666664,28,168,23.555495430495412,32.79619170900684,34.41468867568814
mistralai/mistral-small-24b-instruct-2501,Kevin,mistralai,985.4358728782763,14.444444444444443,26,180,24.417989417989418,45.119490766417236,92.46773167845869
mistralai/ministral-3b,Brian,mistralai,984.0,14.11042944785276,23,163,27.14139643587497,42.10839343102062,84.94030336313497
mistralai/mistral-saba,David,mistralai,984.0,12.138728323699421,21,173,21.78364987613542,41.781796132514714,93.87591094483946
qwen/qwen3-30b-a3b,Megan,qwen,984.0,10.493827160493826,17,162,23.089871376908395,4.938271604938271,0.0
qwen/qwen3-235b-a22b,James,qwen,1045.8278203282016,9.550561797752808,17,178,23.805308299690296,6.441947565543072,0.0
meta-llama/llama-4-maverick,James,meta-llama,985.4358728782763,6.41025641025641,10,156,21.323699448699426,8.333333333333334,0.0
